Method,Accuracy,Precision,Recall,F1,Best epoch
TF-nnPU,0.965180,0.956229,0.910256,0.932677,44
GAT-LSTM-BCE,0.925690,0.852433,0.870192,0.861221,31
GAT-LSTM-nnPU,0.914225,0.818731,0.868590,0.842924,29
